p200,1223,62926
p201,1229,63448
p202,1231,63495
p203,1237,63658
p204,1249,63668
p205,1259,63734
p206,1277,63968
p207,1279,64116
p208,1283,64248
p209,1289,64336
p210,1291,64415
p211,1297,75548
p212,1301,75927
p213,1303,76090
p214,1307,76301
p215,1319,76635
p216,1321,76675
p217,1327,77458
p218,1361,78581
p219,1367,79479
p220,1373,79484
p221,1381,79702
p222,1399,80510
p223,1409,166712
p224,1423,167395
p225,1427,167501
p226,1429,167513
p227,1433,263008
p228,1439,263022
p229,1447,263761
p230,1451,263818
p231,1453,263926
p232,1459,263945
p233,1471,272887
p234,1481,273493
p235,1483,273564
p236,1487,283211
p237,1489,283281
p238,1493,283591
p239,1499,364302
p240,1511,543332
p241,1523,543744
p242,1531,545243
p243,1543,546409
p244,1549,546612
p245,1553,546693
p246,1559,547739
p247,1567,548028
p248,1571,548105
p249,1579,549844
p250,1583,550040
p251,1597,551493
p252,1601,551921
p253,1607,552271
p254,1609,552561
p255,1613,552782
p256,1619,553334
p257,1621,553359
p258,1627,553628
p259,1637,553745
p260,1657,557928
p261,1663,558185
p262,1667,558188
p263,1669,558197
p264,1693,559763
p265,1697,559908
p266,1699,559911
p267,1709,559955
p268,1721,560182
p269,1723,560206
p270,1733,560872
p271,1741,561360
p272,1747,561518
p273,1753,561630
p274,1759,561641
p275,1777,565250
p276,1783,565295
p277,1787,565363
p278,1789,565472
p279,1801,566513
p2,3,1
p3,5,13
p4,7,22
p5,11,84
p6,13,98
p7,17,113
p8,19,122
p9,23,138
p10,29,313
p11,31,334
p12,37,506
p13,41,1199
p14,43,1258
p15,47,1316
p16,53,2006
p17,59,2120
p18,61,2128
p19,67,2213
p20,71,2425
p21,73,2460
p22,79,2496
p23,83,2730
p24,89,2752
p25,97,5139
p26,101,5665
p27,103,5672
p28,107,5840
p29,109,5850
p30,113,5852
p31,127,6842
p32,131,6916
p33,137,7370
p34,139,7395
p35,149,8156
p36,151,8188
p37,157,8253
p38,163,8623
p39,167,8684
p40,173,8800
p41,179,8808
p42,181,8855
p43,191,9630
p44,193,9700
p45,197,9897
p46,199,9922
p47,211,10209
p48,223,10905
p49,227,11373
p50,229,11396
p51,233,11610
p52,239,11941
p53,241,11958
p54,251,13738
p55,257,13837
p56,263,13972
p57,269,14063
p58,271,14152
p59,277,14754
p60,281,14826
p61,283,14833
p62,293,14894
p63,307,15888
p64,311,15993
p65,313,16001
p66,317,16012
p67,331,16124
p68,337,16177
p69,347,16523
p70,349,16527
p71,353,16581
p72,359,16963
p73,367,17088
p74,373,17161
p75,379,17353
p76,383,17397
p77,389,17961
p78,397,20190
p79,401,20331
p80,409,21450
p81,419,21723
p82,421,21728
p83,431,21850
p84,433,21905
p85,439,22031
p86,443,22199
p87,449,22207
p88,457,22805
p89,461,22897
p90,463,22962
p91,467,23166
p92,479,24900
p93,487,25163
p94,491,25706
p95,499,27266
p96,503,27853
p97,509,28184
p98,521,28447
p99,523,28469
p100,541,28509
p101,547,28587
p102,557,28600
p103,563,28834
p104,569,29002
p105,571,29147
p106,577,29324
p107,587,29837
p108,593,30237
p109,599,30976
p110,601,31081
p111,607,31301
p112,613,31373
p113,617,31435
p114,619,31522
p115,631,31651
p116,641,32710
p117,643,32715
p118,647,32936
p119,653,33856
p120,659,33932
p121,661,34045
p122,673,34158
p123,677,34431
p124,683,34848
p125,691,35700
p126,701,38646
p127,709,39799
p128,719,40551
p129,727,40837
p130,733,41078
p131,739,41087
p132,743,41202
p133,751,41680
p134,757,41718
p135,761,41823
p136,769,42367
p137,773,42370
p138,787,45911
p139,797,49508
p140,809,49792
p141,811,49832
p142,821,50343
p143,823,50399
p144,827,50574
p145,829,50611
p146,839,51866
p147,853,53398
p148,857,53410
p149,859,53444
p150,863,53494
p151,877,54991
p152,881,55313
p153,883,55336
p154,887,55374
p155,907,55858
p156,911,56148
p157,919,57541
p158,929,58633
p159,937,59519
p160,941,59531
p161,947,59604
p162,953,59609
p163,967,62005
p164,971,62055
p165,977,62104
p166,983,62120
p167,991,62685
p168,997,62758
p169,1009,62784
p170,1013,62794
p171,1019,62819
p172,1021,62864
p173,1031,64539
p174,1033,64540
p175,1039,64572
p176,1049,64577
p177,1051,64591
p178,1061,64881
p179,1063,64911
